scenario,pReact,pReact_comp,pReact_incomp,pHep,pComp_chemo,Sp_cost,LTBIcompl_cost,LTBIincompl_cost,pAccept_chemo,QFT,QFT_pos_TST+,Hep,PPV_QFT_TST+,NPV_QFT_TST+,TB_cost
0,0.0012,0.0004,0.0009,0.002,0.8,241.23,169.68,84.84,0.95,23.68,0.38,732,0.961,0.839,4925.76
1,0.0005,0.0002,0.0004,0.002,0.8,241.23,169.68,84.84,0.95,23.68,0.38,732,0.961,0.839,4925.76
2,0.0022,0.0014,0.0019,0.002,0.8,241.23,169.68,84.84,0.95,23.68,0.38,732,0.961,0.839,4925.76
3,0.0012,0.0004,0.0009,0.001,0.8,241.23,169.68,84.84,0.95,23.68,0.38,732,0.961,0.839,4925.76
4,0.0012,0.0004,0.0009,0.003,0.8,241.23,169.68,84.84,0.95,23.68,0.38,732,0.961,0.839,4925.76
5,0.0012,0.0004,0.0009,0.002,0.5,241.23,169.68,84.84,0.95,23.68,0.38,732,0.961,0.839,4925.76
6,0.0012,0.0004,0.0009,0.002,0.9,241.23,169.68,84.84,0.95,23.68,0.38,732,0.961,0.839,4925.76
7,0.0012,0.0004,0.0009,0.002,0.8,241.23,169.68,84.84,0.95,23.68,0.38,732,0.8,0.839,4925.76
8,0.0012,0.0004,0.0009,0.002,0.8,241.23,169.68,84.84,0.95,23.68,0.38,732,1,0.839,4925.76
9,0.0012,0.0004,0.0009,0.002,0.8,200,169.68,84.84,0.95,23.68,0.38,732,0.961,0.839,4925.76
10,0.0012,0.0004,0.0009,0.002,0.8,300,169.68,84.84,0.95,23.68,0.38,732,0.961,0.839,4925.76
11,0.0012,0.0004,0.0009,0.002,0.8,241.23,100,84.84,0.95,23.68,0.38,732,0.961,0.839,4925.76
12,0.0012,0.0004,0.0009,0.002,0.8,241.23,200,84.84,0.95,23.68,0.38,732,0.961,0.839,4925.76
13,0.0012,0.0004,0.0009,0.002,0.8,241.23,169.68,50,0.95,23.68,0.38,732,0.961,0.839,4925.76
14,0.0012,0.0004,0.0009,0.002,0.8,241.23,169.68,150,0.95,23.68,0.38,732,0.961,0.839,4925.76
15,0.0012,0.0004,0.0009,0.002,0.8,241.23,169.68,84.84,0.9,23.68,0.38,732,0.961,0.839,4925.76
16,0.0012,0.0004,0.0009,0.002,0.8,241.23,169.68,84.84,1,23.68,0.38,732,0.961,0.839,4925.76
17,0.0012,0.0004,0.0009,0.002,0.8,241.23,169.68,84.84,0.95,10,0.38,732,0.961,0.839,4925.76
18,0.0012,0.0004,0.0009,0.002,0.8,241.23,169.68,84.84,0.95,100,0.38,732,0.961,0.839,4925.76
19,0.0012,0.0004,0.0009,0.002,0.8,241.23,169.68,84.84,0.95,23.68,0.3,732,0.961,0.839,4925.76
20,0.0012,0.0004,0.0009,0.002,0.8,241.23,169.68,84.84,0.95,23.68,0.5,732,0.961,0.839,4925.76
21,0.0012,0.0004,0.0009,0.002,0.8,241.23,169.68,84.84,0.95,23.68,0.38,366,0.961,0.839,4925.76
22,0.0012,0.0004,0.0009,0.002,0.8,241.23,169.68,84.84,0.95,23.68,0.38,1464,0.961,0.839,4925.76
23,0.0012,0.0004,0.0009,0.002,0.8,241.23,169.68,84.84,0.95,23.68,0.38,732,0.961,0.8,4925.76
24,0.0012,0.0004,0.0009,0.002,0.8,241.23,169.68,84.84,0.95,23.68,0.38,732,0.961,1,4925.76
25,0.0012,0.0004,0.0009,0.002,0.8,241.23,169.68,84.84,0.95,23.68,0.38,732,0.961,0.839,2463
26,0.0012,0.0004,0.0009,0.002,0.8,241.23,169.68,84.84,0.95,23.68,0.38,732,0.961,0.839,9851
